track_id,mean_speed,speed_cv,turning_rate,directionR,fast_ratio,environment,video_id
594,50.79602769,1.262171133,0.178110007,0.219489504,0.00343564,Coralreefs,video_01
630,44.51017724,1.43910718,0.398871504,0.270157149,0.0832463,Coralreefs,video_01
797,63.6785113,0.961093248,0.564263323,0.28590104,0.03483,Coralreefs,video_01
877,103.8203947,1.213233721,0.543578158,0.491828349,0.600392157,Coralreefs,video_02
888,85.75761971,1.360112559,0.247517104,0.239822227,0.04934,Coralreefs,video_02
913,73.86008561,1.620023851,1.11259547,0.688343432,0.034384,Coralreefs,video_03
920,32.45719374,0.487595005,1.525676252,0.045989583,0,Coralreefs,video_03
980,65.26151486,0.842026915,0.094537162,0.875032556,0.029411765,Coralreefs,video_03
982,51.90225926,1.332052703,0.229129755,0.373895061,0,Coralreefs,video_04
996,56.16209109,0.484486988,1.187664753,0.005356322,0,Coralreefs,video_04
1078,77.60129207,1.418684181,0.50766536,0.131070195,0,Coralreefs,video_04
1105,61.61756374,1.268811205,0.694810805,0.027447075,0,Coralreefs,video_05
1138,126.890521,2.016922488,0.650709193,0.134635807,0.211864407,Coralreefs,video_05
1168,51.63079034,1.481690311,0.489053263,0.110275479,0,Coralreefs,video_05
1211,35.26075584,1.891636058,0.124668504,0.060709497,0,Coralreefs,video_06
1215,71.60691738,1.513119158,0.343108504,0.223478663,0,Coralreefs,video_06
1248,59.99244607,2.342382347,0.454549367,0.15512442,0.032608696,Coralreefs,video_06
1290,58.13565961,1.448939214,0.161697044,0.06239251,0,Coralreefs,video_06
1314,93.13439054,1.553897569,0.434417886,0.065149305,0.014705882,Coralreefs,video_07
1357,82.34434471,1.640096438,0.40253636,0.275764147,0.25,Coralreefs,video_07
1364,124.5398565,1.733142739,0.310660478,0.352856699,0.731818182,Coralreefs,video_07
1214,133.1239464,1.453857357,0.634049586,0.065149345,0.014705882,Coralreefs,video_08
1367,87.51150173,1.540074566,0.202535867,0.175763245,0.25,Coralreefs,video_08
1164,114.5324536,1.354454314,0.25465676,0.254546698,0.834541818,Coralreefs,video_08
