track_id,mean_speed,speed_cv,turning_rate,directionR,fast_ratio,environment,video_id
1,39.27875004,0.544020245,1.013698105,0.318341909,0.006889086,Seagrassmedows,
14,41.08088841,0.231837085,0.326858596,0.778722717,0.00075414,Seagrassmedows,video_01
33,37.90834095,0.371799491,1.38676695,0.304709575,0.00081167,Seagrassmedows,video_02
42,39.70088888,0.438167683,1.029785313,0.099641694,0.005353371,Seagrassmedows,video_02
50,30.84636224,0.433874491,0.975408505,0.421746608,0.000769958,Seagrassmedows,video_02
3,27.50085547,0.123326535,0.184407749,0.806951013,0.000768126,Seagrassmedows,video_03
4,39.8757235,0.174707292,0.807042501,0.495723851,0.000413183,Seagrassmedows,video_03
7,25.76222347,0.205031187,0.309677253,0.984496688,0.000930365,Seagrassmedows,video_03
11,39.34233217,0.329930182,0.822312004,0.373269526,0.000648821,Seagrassmedows,video_04
17,31.23676854,0.380969228,1.034946756,0.362042363,0.000413794,Seagrassmedows,video_04
18,26.59212833,0.255818703,0.947581508,0.350815201,0.002104774,Seagrassmedows,video_05
22,27.84018207,0.574511544,0.86021626,0.239588038,0.000573233,Seagrassmedows,video_05
24,41.30770324,0.145229303,0.272851011,0.828360875,0.002660694,Seagrassmedows,video_06
27,45.33674804,0.338421863,0.885485763,0.217133713,0.0008891,Seagrassmedows,video_06
31,61.10486766,0.306360264,0.898120515,0.30590655,0.00065099,Seagrassmedows,video_07
36,27.55243452,0.368065782,0.410755267,0.794679388,0.000603978,Seagrassmedows,video_07
45,34.48012985,0.142158434,0.533900185,0.783452225,0.000911183,Seagrassmedows,video_08
52,27.31234772,0.45644938,0.43602477,0.872225063,0.000830974,Seagrassmedows,video_08
57,28.46753764,0.15644938,0.93602477,0.672225063,0.000330974,Seagrassmedows,video_08
